Movie_Title,new_censor
Gunpowder Milkshake,adults
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,adults
Project Power,teens
The Spy Who Dumped Me,adults
Don't Breathe 2,adults
Captive State,kids
The Promise,teens
The Purge: Election Year,adults
Godzilla: King of the Monsters,kids
Those Who Wish Me Dead,teens
The Lego Ninjago Movie,kids
Taken 3,adults
The Machine,adults
Chennai Express,kids
Man of Tai Chi,adults
Autómata,adults
Honest Thief,teens
Erased,adults
Murder Mystery,teens
Lockout,teens
Exodus: Gods and Kings,kids
Hercules,kids
Immortals,adults
The Tourist,kids
Transporter 3,kids
Thick as Thieves,adults
Lightyear,kids
Unhinged,adults
Sucker Punch,kids
Valhalla Rising,unrated
Speed Racer,kids
Carriers,teens
CHIPS,adults
The Tournament,adults
The Fast and the Furious: Tokyo Drift,kids
The Condemned,adults
Miami Vice,adults
Cowboys & Aliens,teens
Van Helsing,kids
Sahara,teens
The Hunted,adults
Jimmy Neutron: Boy Genius,kids
A Man Apart,adults
S.W.A.T.,teens
Shaft,adults
Wrongfully Accused,teens
The Big Hit,adults
Soldier,adults
The Peacemaker,adults
G.I. Jane,adults
Dante's Peak,kids
First Knight,kids
The Shadow,kids
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,kids
Bird on a Wire,adults
K-9,kids
Above the Law,adults
Firestarter,kids
Beneath the Planet of the Apes,kids
Liu lang di qiu,unrated
Venom: Let There Be Carnage,kids
Tiger Zinda Hai,kids
Braven,kids
Teenage Mutant Ninja Turtles: Out of the Shadows,kids
Power Rangers,kids
London Has Fallen,kids
Ride Along 2,kids
Keeping Up with the Joneses,teens
The Great Wall,teens
Gone,kids
The Double,teens
The Last Witch Hunter,adults
Abraham Lincoln: Vampire Hunter,adults
Kidnap,kids
Suicide Squad,kids
Star Wars: The Clone Wars,kids
Transformers: Revenge of the Fallen,kids
Iron Sky,adults
Fatman,adults
Sanctum,adults
Red Tails,teens
Doomsday,adults
Punisher: War Zone,adults
Domino,unrated
The Legend of Zorro,kids
Into the Blue,kids
The Brothers Grimm,teens
2 Fast 2 Furious,adults
Undercover Brother,teens
The Time Machine,kids
The One,adults
3000 Miles to Graceland,adults
The 6th Day,kids
Vertical Limit,kids
Jurassic Park III,kids
Deep Blue Sea,adults
Six Days Seven Nights,kids
Hard Rain,adults
The Fan,kids
Daylight,kids
The Net,kids
Timecop,adults
Fortress,adults
Passenger 57,kids
The Rookie,kids
Men at Work,unrated
Another 48 Hrs.,kids
The Golden Child,kids
Conan the Destroyer,kids
Firefox,kids
The Black Hole,kids
Samrat Prithviraj,kids
Underwater,teens
Skyscraper,kids
Morgan,adults
Extinction,teens
The Gunman,adults
Into the Storm,teens
Noah,kids
The Mortal Instruments: City of Bones,adults
The Host,adults
Haywire,kids
Battleship,kids
Pride and Prejudice and Zombies,teens
Oldboy,adults
Teenage Mutant Ninja Turtles,teens
Resident Evil: Afterlife,kids
2012,kids
The Man from Toronto,teens
Saw V,adults
Straw Dogs,kids
The Green Hornet,teens
Clash of the Titans,kids
Without Remorse,teens
Wild Hogs,teens
Cirque du Freak: The Vampire's Assistant,teens
Firewall,kids
Journey to the Center of the Earth,kids
Blade: Trinity,adults
Around the World in 80 Days,kids
The League of Extraordinary Gentlemen,kids
Cradle 2 the Grave,adults
Taxi 3,kids
xXx,kids
Reindeer Games,adults
Hollow Man,adults
End of Days,adults
Bulletproof,adults
Sudden Death,adults
Species,adults
Mortal Kombat,kids
Striking Distance,adults
RoboCop 2,adults
Hard to Kill,adults
Air America,kids
Rambo III,adults
Over the Top,kids
Cobra,adults
1941,kids
Escape Room: Tournament of Champions,unrated
Jurassic World Dominion,kids
Dark Phoenix,kids
Samaritan,teens
Close,unrated
The Do-Over,adults
Mulan,teens
The Darkest Minds,teens
Underworld: Blood Wars,kids
Mechanic: Resurrection,kids
Allegiant,teens
Pan,kids
Hitman: Agent 47,teens
Ben-Hur,teens
Cooties,adults
Chaos Walking,kids
Sabotage,adults
Wrath of the Titans,kids
Bloodshot,kids
Only God Forgives,adults
G.I. Joe: Retaliation,kids
The Three Musketeers,kids
Journey 2: The Mysterious Island,kids
Bullet to the Head,adults
Battle: Los Angeles,kids
The Matrix Resurrections,adults
Race to Witch Mountain,kids
G.I. Joe: The Rise of Cobra,kids
Gamer,adults
Gemini Man,kids
Army of the Dead,adults
Armored,teens
Priest,teens
Drillbit Taylor,teens
Fool's Gold,teens
Bandidas,teens
Poseidon,kids
Freddy vs. Jason,adults
Red Planet,kids
The Art of War,adults
Lara Croft: Tomb Raider,kids
Lake Placid,adults
Planet of the Apes,kids
Mighty Joe Young,kids
Fantastic Four,kids
Escape from L.A.,adults
Money Train,kids
Cutthroat Island,kids
Hudson Hawk,kids
Crocodile Dundee II,kids
Jay and Silent Bob Reboot,adults
Brahmastra Part One: Shiva,kids
Hold the Dark,teens
The Meg,kids
The Ice Road,kids
Survivor,kids
Pacific Rim: Uprising,kids
Men in Black: International,kids
Wild Card,adults
Pixels,teens
Transformers: Age of Extinction,kids
Assassin's Creed,kids
Sleepless,adults
Machete Kills,adults
Fire with Fire,kids
The Dark Tower,kids
MacGruber,adults
Brick Mansions,kids
12 Rounds,teens
Toofaan,kids
Beckett,teens
Jolt,adults
You Don't Mess with the Zohan,teens
The Pink Panther 2,kids
R.I.P.D.,adults
4: Rise of the Silver Surfer,kids
The Contract,adults
The Pacifier,kids
AVP: Alien vs. Predator,kids
Alexander,kids
Timeline,teens
Hulk,kids
Bad Company,teens
National Security,teens
Exit Wounds,adults
Spy Kids,kids
The Skulls,teens
Charlie's Angels,adults
Chain Reaction,kids
Johnny Mnemonic,kids
The Specialist,kids
Buffy the Vampire Slayer,kids
Double Impact,adults
Busanhaeng 2: Bando,adults
The 355,kids
Willy's Wonderland,adults
Mortdecai,kids
Resident Evil: The Final Chapter,adults
The Cloverfield Paradox,teens
Ek Tha Tiger,kids
Pompeii,adults
Stolen,kids
Baywatch,adults
Cop Out,adults
Green Lantern,kids
Seventh Son,teens
Fighting,teens
Sweet Girl,teens
The Bounty Hunter,adults
Gunjan Saxena: The Kargil Girl,teens
Taxi 4,unrated
Snakes on a Plane,adults
The Man,teens
Whiteout,adults
Babylon A.D.,kids
Lara Croft Tomb Raider: The Cradle of Life,kids
The Core,kids
Showtime,kids
The Scorpion King,adults
Eight Legged Freaks,kids
Collateral Damage,adults
Volcano,kids
Metro,adults
George of the Jungle,kids
Beverly Hills Ninja,kids
The Quest,teens
Virtuosity,kids
Under Siege 2: Dark Territory,adults
Judge Dredd,adults
Beverly Hills Cop III,adults
Star Trek V: The Final Frontier,kids
Raw Deal,adults
Spiderhead,adults
Ava,teens
Snake Eyes: G.I. Joe Origins,teens
Wonder Woman 1984,kids
Infinite,teens
"Game Over, Man!",unrated
Blackhat,kids
Gods of Egypt,kids
The Mummy,adults
Big Game,kids
Vampire Academy,adults
Drive Angry,adults
Killing Season,adults
The Happytime Murders,adults
The Spy Next Door,kids
The Man with the Iron Fists,adults
Killers,teens
Outside the Wire,adults
The Forever Purge,adults
Season of the Witch,adults
The Last Legion,teens
Pathfinder,adults
Æon Flux,kids
I Spy,adults
The Tuxedo,kids
Bulletproof Monk,kids
Godzilla,kids
D3: The Mighty Ducks,kids
Batman Forever,kids
Maximum Overdrive,adults
Battle for the Planet of the Apes,kids
The New Mutants,adults
Robin Hood,kids
The Predator,adults
Kick,kids
Point Break,kids
Geostorm,kids
Resident Evil: Retribution,adults
Dhoom:3,kids
Jupiter Ascending,adults
One for the Money,teens
Red Dawn,adults
The Colony,unrated
Bangkok Dangerous,kids
Max Payne,adults
Land of the Lost,kids
Hollywood Homicide,kids
Daredevil,kids
Spy Hard,kids
Tank Girl,adults
The Karate Kid Part III,kids
Masters of the Universe,kids
Resident Evil: Welcome to Raccoon City,adults
Monster Hunter,kids
The First Purge,unrated
F9,kids
Morbius,kids
The Bad Batch,adults
Transformers: The Last Knight,kids
The Transporter Refueled,kids
The 5th Wave,kids
Hellboy,adults
Independence Day: Resurgence,kids
A Good Day to Die Hard,kids
Schindler's List,adults
Rocketry: The Nambi Effect,kids
Goodfellas,adults
The Intouchables,kids
The Pianist,teens
Hamilton,teens
Sardar Udham,teens
Braveheart,adults
Amadeus,adults
Ayla: The Daughter of War,unrated
Lawrence of Arabia,kids
Green Book,kids
Bhaag Milkha Bhaag,kids
The Wolf of Wall Street,adults
Der Untergang,kids
A Beautiful Mind,kids
Raging Bull,adults
The Elephant Man,kids
Dersu Uzala,kids
La passion de Jeanne d'Arc,unrated
Hacksaw Ridge,adults
12 Years a Slave,adults
Rush,adults
Spotlight,adults
Hachi: A Dog's Tale,kids
Into the Wild,kids
Hotel Rwanda,kids
Catch Me If You Can,adults
In the Name of the Father,kids
Gandhi,kids
The Message,unrated
Andrei Rublev,unrated
The Sound of Music,kids
Inherit the Wind,unrated
Lion,kids
The Imitation Game,kids
The King's Speech,kids
Persepolis,teens
The Pursuit of Happyness,kids
Le scaphandre et le papillon,teens
Mar adentro,kids
Cinderella Man,kids
The Straight Story,kids
Dog Day Afternoon,kids
Zerkalo,unrated
Papillon,adults
Butch Cassidy and the Sundance Kid,kids
Super 30,kids
Padman,kids
Togo,kids
M.S. Dhoni: The Untold Story,kids
Bohemian Rhapsody,kids
Dallas Buyers Club,adults
My Left Foot: The Story of Christy Brown,kids
Patton,kids
The Lion in Winter,kids
In Cold Blood,unrated
Spartacus,adults
Hidden Figures,kids
Loving Vincent,kids
Pride,adults
The Big Short,adults
Straight Outta Compton,adults
The Irishman,teens
The Social Network,kids
Changeling,adults
American Gangster,adults
The World's Fastest Indian,kids
Walk the Line,kids
Diarios de motocicleta,kids
Remember the Titans,kids
The Insider,kids
October Sky,kids
Ed Wood,kids
Tombstone,kids
Awakenings,kids
Glory,kids
The Killing Fields,adults
The Right Stuff,kids
The Theory of Everything,kids
Kaze tachinu,unrated
Argo,adults
Frost/Nixon,kids
Ray,adults
Finding Neverland,kids
Donnie Brasco,adults
Shine,unrated
Il postino,unrated
Malcolm X,kids
The Last Emperor,kids
Serpico,adults
A Man for All Seasons,kids
Dark Waters,teens
The Two Popes,teens
The Boy Who Harnessed the Wind,teens
Sanju,kids
Just Mercy,adults
Philomena,teens
127 Hours,kids
Moneyball,teens
The Blind Side,kids
Freedom Writers,kids
The Last King of Scotland,adults
La Vie en Rose,teens
Sophie Scholl - Die letzten Tage,unrated
Control,adults
The Hurricane,kids
King Richard,kids
"tick, tick...BOOM!",teens
83,kids
BlacKkKlansman,adults
"I, Tonya",adults
The Favourite,adults
Richard Jewell,adults
Fruitvale Station,adults
Saving Mr. Banks,kids
The Greatest Showman,kids
En kongelig affære,adults
The Damned United,adults
Selma,teens
Milk,adults
Hunger,unrated
42,teens
The Assassination of Jesse James by the Coward Robert Ford,adults
The Great Debaters,teens
The Aviator,kids
Blow,adults
Boys Don't Cry,adults
Quiz Show,kids
Rudy,kids
Chaplin,teens
Henry V,kids
Christiane F. - Wir Kinder vom Bahnhof Zoo,unrated
Midnight Express,adults
Judas and the Black Messiah,adults
The Mauritanian,adults
Darkest Hour,kids
Molly's Game,adults
Elvis,kids
Sully,adults
Trumbo,adults
The Good Lie,teens
"McFarland, USA",kids
Love & Mercy,teens
"Good Night, and Good Luck.",kids
The Greatest Game Ever Played,kids
Miracle,kids
American Splendor,adults
Rabbit-Proof Fence,kids
Erin Brockovich,adults
Elizabeth,adults
Man on the Moon,adults
Gods and Monsters,adults
Searching for Bobby Fischer,teens
The King and I,kids
The King,adults
The Banker,adults
Official Secrets,adults
Snowden,adults
A Street Cat Named Bob,unrated
The Disaster Artist,kids
The Walk,kids
Woman in Gold,unrated
Belle,kids
Rocketman,adults
Belfast,teens
Beautiful Boy,adults
First Man,kids
Eddie the Eagle,kids
Rescue Dawn,teens
Lincoln,kids
The Queen,kids
Coach Carter,teens
Capote,kids
Monster,adults
24 Hour Party People,adults
Quills,unrated
"Girl, Interrupted",kids
Antwone Fisher,teens
Frida,kids
Amistad,adults
The People vs. Larry Flynt,adults
The Basketball Diaries,kids
Heavenly Creatures,kids
This Boy's Life,kids
"Good Morning, Vietnam",kids
Dolemite Is My Name,adults
The Report,adults
The Post,kids
Vice,adults
The Professor and the Madman,unrated
Papillon,adults
The Founder,unrated
The End of the Tour,adults
Stan & Ollie,kids
A Beautiful Day in the Neighborhood,kids
Steve Jobs,adults
The Sessions,adults
Testament of Youth,teens
The Butler,adults
Conviction,adults
Lawless,adults
Secretariat,kids
The Young Victoria,kids
Che: Part One,unrated
An American Crime,adults
The Man Who Knew Infinity,kids
Glory Road,kids
Before Night Falls,adults
Men of Honor,kids
The Doors,kids
Born on the Fourth of July,adults
Mask,kids
Bad Education,unrated
Fighting with My Family,adults
On the Basis of Sex,teens
Can You Ever Forgive Me?,adults
Miracles from Heaven,kids
The Dig,teens
Race,kids
Concussion,teens
The Glass Castle,teens
Wild,adults
Mandela: Long Walk to Freedom,kids
Tracks,teens
The Railway Man,adults
War Dogs,adults
Goodbye Christopher Robin,kids
Chasing Mavericks,kids
The Devil's Double,adults
Nowhere Boy,adults
Agora,adults
The Whistleblower,adults
The Danish Girl,adults
Kinsey,adults
Lords of Dogtown,teens
Chopper,adults
Seven Years in Tibet,kids
Michael Collins,kids
Nixon,adults
Alive,kids
Out of Africa,kids
Chariots of Fire,kids
American Animals,adults
Professor Marston and the Wonder Women,adults
Loving,teens
Colonia,adults
Danny Collins,adults
The Zookeeper's Wife,adults
Million Dollar Arm,kids
Soul Surfer,kids
Pawn Sacrifice,kids
Kill the Irishman,adults
The Infiltrator,adults
Behind the Candelabra,unrated
Julie & Julia,kids
Big Eyes,kids
Foxcatcher,adults
Gangubai Kathiawadi,kids
The Dirt,unrated
Miss Potter,kids
Charlie Wilson's War,kids
Invincible,kids
Gridiron Gang,teens
Find Me Guilty,adults
Jarhead,adults
Becoming Jane,kids
Breach,teens
Bobby,adults
Confessions of a Dangerous Mind,adults
Pollock,adults
Kundun,teens
Henry: Portrait of a Serial Killer,adults
Gorillas in the Mist: The Story of Dian Fossey,kids
Sid and Nancy,unrated
Cleopatra,adults
Boy Erased,unrated
At Eternity's Gate,teens
Borg McEnroe,kids
Stronger,adults
Legend,adults
The Highwaymen,teens
My Week with Marilyn,adults
Black Mass,adults
Kill the Messenger,adults
The Duchess,teens
Bright Star,kids
Goya's Ghosts,adults
Alpha Dog,adults
The Assassination of Richard Nixon,adults
Girl with a Pearl Earring,kids
Radio,kids
Bully,adults
Private Parts,adults
Rob Roy,adults
La Bamba,kids
Judy,kids
Munich: The Edge of War,teens
Bombshell,adults
"Don't Worry, He Won't Get Far on Foot",adults
Victoria & Abdul,kids
Escape from Pretoria,teens
All the Money in the World,kids
Florence Foster Jenkins,kids
Tolkien,teens
Mr. Turner,adults
The 33,kids
Jersey Boys,adults
Bernie,teens
Bleed for This,adults
The Iceman,adults
Mank,teens
Fair Game,adults
Hitchcock,kids
The Stanford Prison Experiment,adults
Elizabeth: The Golden Age,teens
Che: Part Two,unrated
I'm Not There,adults
Patch Adams,kids
Selena,kids
Bugsy,adults
Battle of the Sexes,kids
The Lady in the Van,teens
The Old Man & the Gun,kids
"Extremely Wicked, Shockingly Evil and Vile",adults
Jackie,kids
Hysteria,adults
Taking Woodstock,adults
Coco avant Chanel,teens
The Soloist,teens
The Other Boleyn Girl,adults
The New World,teens
Ali,kids
The Eyes of Tammy Faye,teens
Operation Finale,teens
Whiskey Tango Foxtrot,adults
Joy,kids
Spencer,kids
The Lost City of Z,kids
House of Gucci,adults
I Love You Phillip Morris,adults
A Mighty Heart,adults
Notorious,adults
Being the Ricardos,teens
Imperium,adults
The Current War,kids
J. Edgar,adults
The Informant!,adults
The Runaways,adults
Hollywoodland,adults
Marie Antoinette,teens
Riding in Cars with Boys,teens
Dangerous Minds,kids
Fire in the Sky,teens
A Dangerous Method,adults
Kill Your Darlings,adults
The Iron Lady,kids
How to Lose Friends & Alienate People,adults
Joan of Arc,adults
1492: Conquest of Paradise,teens
Mary Queen of Scots,adults
True Story,adults
A Walk in the Woods,adults
W.,kids
Evita,kids
The Fifth Estate,kids
Lovelace,unrated
The Libertine,kids
Jobs,kids
Thalaivi,kids
Masterminds,teens
Heaven Is for Real,kids
Eat Pray Love,kids
The Bling Ring,adults
Blonde,adults
Get Rich or Die Tryin',adults
Chhapaak,kids
The 15:17 to Paris,adults
Reis,unrated
Sen to Chihiro no kamikakushi,kids
The Lion King,kids
Hotaru no haka,kids
Kimi no na wa.,kids
Coco,kids
WALL·E,kids
Up,kids
Toy Story 3,kids
Toy Story,kids
Inside Out,kids
Hauru no ugoku shiro,kids
Finding Nemo,kids
Koe no katachi,teens
Klaus,kids
Ôkami kodomo no Ame to Yuki,kids
Mary and Max.,unrated
Ratatouille,kids
"Monsters, Inc.",kids
Tonari no Totoro,kids
WolfWalkers,kids
Soul,kids
Zootopia,kids
Kaguya-hime no Monogatari,kids
Song of the Sea,kids
Pâfekuto burû,adults
Aladdin,kids
Beauty and the Beast,kids
Tenkû no shiro Rapyuta,kids
Kaze no tani no Naushika,kids
Fantastic Mr. Fox,kids
Shrek,kids
Toy Story 2,kids
Mimi wo sumaseba,kids
The Nightmare Before Christmas,kids
Isle of Dogs,kids
Tôkyô goddofâzâzu,kids
Sennen joyû,kids
Majo no takkyûbin,kids
The Breadwinner,kids
Omoide no Marnie,kids
Ma vie de Courgette,teens
Toy Story 4,kids
Wreck-It Ralph,kids
Le Petit Prince,kids
Papurika,kids
Toki o kakeru shôjo,kids
Tangled,kids
Coraline,kids
Les triplettes de Belleville,teens
Waking Life,adults
"South Park: Bigger, Longer & Uncut",adults
Kurenai no buta,kids
Who Framed Roger Rabbit,kids
La planète sauvage,kids
Fantasia,kids
The Mitchells vs the Machines,teens
Moana,kids
Karigurashi no Arietty,kids
Despicable Me,kids
Gake no ue no Ponyo,kids
The Secret of Kells,unrated
Mulan,kids
Kal Hee,kids
The Little Mermaid,kids
Watership Down,unrated
The Jungle Book,kids
Snow White and the Seven Dwarfs,kids
J'ai perdu mon corps,unrated
Tenki no ko,kids
La tortue rouge,kids
Byôsoku 5 senchimêtoru,kids
L'illusionniste,kids
The Curse of the Were-Rabbit,kids
Ice Age,kids
The Secret of NIMH,kids
The Many Adventures of Winnie the Pooh,kids
Robin Hood,kids
Pinocchio,kids
Onward,kids
Sing 2,kids
Koto no ha no niwa,kids
Frozen,kids
Kokuriko-zaka kara,kids
Luca,kids
Inosensu: Innocence,kids
The Emperor's New Groove,kids
The Land Before Time,kids
Yellow Submarine,unrated
Alice in Wonderland,unrated
Shaun the Sheep Movie,kids
Finding Dory,kids
Despicable Me 2,kids
The Simpsons Movie,kids
Shrek 2,kids
Lilo & Stitch,kids
Corpse Bride,kids
Tarzan,kids
Hercules,kids
Heisei tanuki gassen ponpoko,kids
The Brave Little Toaster,kids
The Last Unicorn,kids
One Hundred and One Dalmatians,kids
Lady and the Tramp,kids
Peter Pan,kids
Cinderella,kids
Bambi,kids
Wish Dragon,kids
Encanto,kids
Anomalisa,adults
The Book of Life,kids
Monsters University,kids
The Croods,kids
Neko no ongaeshi,kids
Cars,kids
Treasure Planet,kids
A Bug's Life,kids
The Great Mouse Detective,kids
The Fox and the Hound,kids
Sleeping Beauty,kids
Dumbo,kids
The Sea Beast,kids
Sing,kids
Winnie the Pooh,unrated
Arthur Christmas,kids
Brave,kids
The Princess and the Frog,unrated
Enchanted,kids
The SpongeBob SquarePants Movie,kids
Spirit: Stallion of the Cimarron,kids
Fantasia 2000,unrated
The Prince of Egypt,kids
Chicken Run,kids
Anastasia,unrated
Balto,kids
The AristoCats,kids
The Sword in the Stone,kids
Turning Red,kids
Ron's Gone Wrong,kids
Abominable,kids
Ralph Breaks the Internet,kids
Chip 'n Dale: Rescue Rangers,kids
The Peanuts Movie,kids
ParaNorman,kids
Hotel Transylvania,kids
A Scanner Darkly,adults
The Hunchback of Notre Dame,kids
Bedknobs and Broomsticks,unrated
The Croods: A New Age,kids
Rio,kids
Frankenweenie,kids
Ice Age: Dawn of the Dinosaurs,kids
Cloudy with a Chance of Meatballs,kids
Madagascar,kids
The Road to El Dorado,kids
A Goofy Movie,kids
An American Tail,unrated
The Rescuers,unrated
The Bad Guys,kids
The Lion King,kids
Storks,kids
Frozen II,kids
Madagascar 3: Europe's Most Wanted,kids
A Christmas Carol,kids
Mr. Peabody & Sherman,kids
The Boxtrolls,kids
Horton Hears a Who!,kids
Ice Age: The Meltdown,kids
Bolt,kids
Meet the Robinsons,kids
Brother Bear,kids
Beavis and Butt-Head Do America,teens
The Rescuers Down Under,unrated
DuckTales the Movie: Treasure of the Lost Lamp,unrated
Missing Link,kids
Mary Poppins Returns,kids
Cars 3,kids
Ferdinand,kids
The Good Dinosaur,kids
The Pirates! In an Adventure with Scientists!,kids
Surf's Up,kids
Over the Hedge,kids
Sinbad: Legend of the Seven Seas,kids
James and the Giant Peach,kids
Pocahontas,kids
All Dogs Go to Heaven,kids
Smallfoot,kids
Minions: The Rise of Gru,kids
Hotel Transylvania 2,kids
Home,kids
Penguins of Madagascar,kids
Madagascar: Escape 2 Africa,kids
Puss in Boots,kids
Monster House,kids
The Polar Express,kids
Antz,kids
Oliver & Company,kids
Heavy Metal,adults
The Secret Life of Pets,kids
Ice Age: Continental Drift,kids
Hoodwinked!,kids
Space Jam,kids
FernGully: The Last Rainforest,kids
The Secret Life of Pets 2,kids
Minions,kids
Turbo,kids
Trolls,kids
The Lorax,kids
Happy Feet,kids
Robots,kids
Dinosaur,kids
The Swan Princess,kids
An American Tail: Fievel Goes West,unrated
Hotel Transylvania 3: Summer Vacation,kids
The Boss Baby,kids
The Grinch,kids
Rio 2,kids
Cloudy with a Chance of Meatballs 2,kids
Shrek Forever After,kids
Gedo senki,kids
Despicable Me 3,kids
Cars 2,kids
The Lord of the Rings,kids
Sausage Party,adults
The Tale of Despereaux,unrated
Shrek the Third,kids
Open Season,kids
Bee Movie,kids
Hotel Transylvania: Transformania,kids
The SpongeBob Movie: Sponge Out of Water,kids
Planet 51,kids
Arthur et les Minimoys,kids
Shark Tale,kids
Gnomeo & Juliet,unrated
The Addams Family,kids
Happy Feet Two,kids
Escape from Planet Earth,kids
The Ant Bully,kids
Looney Tunes: Back in Action,kids
The Nut Job,kids
Planes,kids
Chicken Little,kids
Ice Age: Collision Course,kids
Scoob!,kids
Barnyard,kids
Stuart Little 2,kids
Hop,kids
The Smurfs,kids
The Smurfs 2,kids
Tom & Jerry,kids
The Wild,kids
G-Force,kids
Garfield: A Tale of Two Kitties,kids
Garfield,kids
Space Jam: A New Legacy,kids
Alvin and the Chipmunks: The Squeakquel,kids
Alvin and the Chipmunks: Chipwrecked,kids
The Emoji Movie,kids
"Il buono, il brutto, il cattivo",adults
Once Upon a Time in the West,kids
Django Unchained,adults
Unforgiven,adults
Per qualche dollaro in più,kids
The Treasure of the Sierra Madre,unrated
The Gold Rush,unrated
The Man Who Shot Liberty Valance,kids
Dances with Wolves,kids
Rio Bravo,unrated
High Noon,kids
The Searchers,kids
The Hateful Eight,adults
The Outlaw Josey Wales,kids
Red River,unrated
Stagecoach,unrated
Wind River,adults
Blazing Saddles,adults
Hell or High Water,adults
True Grit,teens
McCabe & Mrs. Miller,adults
Giù la testa,adults
Little Big Man,adults
Giant,kids
Shane,unrated
Dead Man,adults
Legends of the Fall,adults
Of Mice and Men,kids
Jeremiah Johnson,kids
El Dorado,unrated
Yahsi Bati,unrated
Lone Star,adults
Back to the Future Part III,kids
High Plains Drifter,adults
True Grit,kids
The Ballad of Buster Scruggs,adults
Bacurau,unrated
The Proposition,adults
The Three Burials of Melquiades Estrada,adults
Pale Rider,kids
Il mio nome è Nessuno,unrated
Seven Brides for Seven Brothers,unrated
Hostiles,adults
El Topo,adults
Bone Tomahawk,unrated
The Dressmaker,adults
The Longest Ride,kids
Brimstone,adults
Two Mules for Sister Sara,adults
Hang 'Em High,adults
Les frères Sisters,adults
Bubba Ho-Tep,adults
Ravenous,adults
The Power of the Dog,teens
City Slickers,unrated
The Devil's Rejects,adults
The Horse Whisperer,kids
The Homesman,adults
Australia,kids
Far and Away,kids
The Missing,adults
Three Amigos!,kids
A Million Ways to Die in the West,adults
Cry Macho,teens
Wild Wild West,adults
The Ridiculous 6,unrated
Jonah Hex,teens
The Godfather,adults
Aynabaji,unrated
The Godfather Part II,adults
12 Angry Men,kids
Jai Bhim,adults
Pulp Fiction,adults
Cidade de Deus,adults
The Green Mile,kids
Se7en,adults
The Silence of the Lambs,adults
The Departed,adults
American History X,adults
The Usual Suspects,adults
Joker,adults
Drishyam 2,teens
Tengoku to jigoku,unrated
Witness for the Prosecution,kids
Ratsasan,kids
Drishyam,kids
Reservoir Dogs,teens
Once Upon a Time in America,adults
Scarface,adults
The Sting,kids
A Clockwork Orange,adults
To Kill a Mockingbird,kids
Double Indemnity,unrated
M - Eine Stadt sucht einen Mörder,unrated
Andhadhun,kids
Drishyam,kids
No Country for Old Men,adults
Snatch,kids
L.A. Confidential,adults
Casino,adults
Taxi Driver,adults
Z,kids
Dial M for Murder,adults
Rashômon,kids
Pink,kids
"Three Billboards Outside Ebbing, Missouri",adults
Talvar,kids
The Grand Budapest Hotel,kids
Prisoners,adults
Article 15,kids
Rang De Basanti,kids
Salinui chueok,kids
The Big Lebowski,kids
Fargo,adults
Eskiya,unrated
La haine,unrated
Dom za vesanje,unrated
Paper Moon,kids
Cool Hand Luke,adults
Les quatre cents coups,kids
Du rififi chez les hommes,unrated
On the Waterfront,adults
Les diaboliques,unrated
Contratiempo,teens
Special Chabbis,kids
Slumdog Millionaire,kids
Sin City,adults
Dogville,kids
"Crna macka, beli macor",adults
Chung Hing sam lam,kids
Le Samouraï,unrated
Touch of Evil,teens
The Killing,unrated
The Night of the Hunter,adults
Kind Hearts and Coronets,kids
Out of the Past,unrated
The Maltese Falcon,unrated
Knives Out,kids
Manbiki kazoku,adults
In Bruges,adults
Bin-jip,kids
Mystic River,adults
Nueve reinas,adults
Dancer in the Dark,kids
Once Were Warriors,adults
True Romance,adults
Carlito's Way,adults
Bound by Honor,adults
The Untouchables,adults
Le cercle rouge,unrated
Ascenseur pour l'échafaud,unrated
The Big Heat,unrated
Strangers on a Train,adults
Rope,adults
The Big Sleep,unrated
Mildred Pierce,unrated
Arsenic and Old Lace,unrated
Badla,kids
Nightcrawler,adults
La migliore offerta,adults
Bir Zamanlar Anadolu'da,unrated
The Girl with the Dragon Tattoo,adults
Un prophète,adults
Madeo,adults
Män som hatar kvinnor,adults
Crash,kids
Lilja 4-ever,adults
A Bronx Tale,adults
Boyz n the Hood,adults
Mississippi Burning,adults
The King of Comedy,kids
The Day of the Jackal,adults
The Asphalt Jungle,unrated
Gaslight,unrated
This Is England,adults
Zodiac,kids
Lucky Number Slevin,adults
Adams æbler,adults
Road to Perdition,adults
Ocean's Eleven,kids
"O Brother, Where Art Thou?",kids
Hana-bi,unrated
Primal Fear,adults
Glengarry Glen Ross,adults
Miller's Crossing,unrated
Down by Law,unrated
Blue Velvet,adults
À bout de souffle,kids
Victoria,unrated
Highway,kids
Leviafan,adults
Les misérables,adults
Eastern Promises,adults
Inside Man,adults
Gone Baby Gone,adults
Dead Man's Shoes,unrated
Lord of War,kids
Vera Drake,adults
Kontroll,adults
21 Grams,kids
Traffic,adults
American Psycho,adults
Do lok tin si,kids
Baazigar,kids
My Cousin Vinny,kids
Delicatessen,adults
The Godfather Part III,adults
The Naked Gun: From the Files of Police Squad!,kids
After Hours,kids
Blood Simple,adults
The Long Goodbye,adults
Bande à part,unrated
West Side Story,adults
The Ladykillers,unrated
The 39 Steps,unrated
Promising Young Woman,adults
Den skyldige,adults
Who Am I - Kein System ist sicher,teens
Sin nombre,adults
The Town,adults
Die Fälscher,adults
