Movie_Title,new_censor
Scott Pilgrim vs. the World,kids
Munich,adults
Shi mian mai fu,kids
Harry Potter and the Order of the Phoenix,kids
Collateral,adults
Zatôichi,adults
Jui kuen II,kids
The Crow,adults
Total Recall,adults
The Hunt for Red October,kids
Batman,kids
Midnight Run,adults
Ging chaat goo si,kids
Indiana Jones and the Temple of Doom,adults
The Warriors,kids
Tora! Tora! Tora!,unrated
It's a Mad Mad Mad Mad World,unrated
The Guns of Navarone,kids
Shang-Chi and the Legend of the Ten Rings,kids
Nobody,adults
Spider-Man: Far from Home,kids
John Wick: Chapter 3 - Parabellum,adults
John Wick: Chapter 2,adults
The Last Duel,adults
War for the Planet of the Apes,kids
John Wick,adults
Predestination,adults
How to Train Your Dragon: The Hidden World,kids
Mission: Impossible - Rogue Nation,kids
Spider-Man: Homecoming,kids
Rurôni Kenshin: Meiji kenkaku roman tan,unrated
Ready Player One,kids
Sherlock Holmes: A Game of Shadows,kids
Samâ uôzu,kids
Looper,adults
Mission: Impossible - Ghost Protocol,kids
Law Abiding Citizen,adults
Black Dynamite,adults
Wonder Woman,kids
L'ennemi public n°1,adults
A History of Violence,kids
Spider-Man 2,kids
Open Range,kids
Master and Commander: The Far Side of the World,teens
X2,kids
Spider-Man,kids
The Rock,adults
Thief,unrated
Zui quan,kids
Superman,kids
Get Carter,kids
Bullitt,adults
From Russia with Love,adults
El Camino: A Breaking Bad Movie,teens
DC League of Super-Pets,kids
Tenet,kids
Raya and the Last Dragon,kids
Patriots Day,adults
13 Hours,adults
The Lego Batman Movie,kids
Okja,kids
The Nice Guys,adults
Avengers: Age of Ultron,kids
No Time to Die,kids
American Sniper,adults
The Accountant,adults
Eye in the Sky,kids
Black Panther,kids
Southpaw,teens
Fast Five,kids
The Next Three Days,teens
Bullet Train,adults
Ghajini,kids
Master,kids
Invictus,kids
Max Manus,unrated
Megamind,kids
The Adventures of Tintin,kids
Der Baader Meinhof Komplex,adults
Ant-Man,kids
Alita: Battle Angel,kids
Chi bi,adults
Running Scared,adults
Pirates of the Caribbean: Dead Man's Chest,teens
Layer Cake,kids
Dawn of the Dead,adults
Siu Lam juk kau,kids
Equilibrium,kids
X-Men,kids
The Negotiator,adults
Enemy of the State,adults
Starship Troopers,adults
Men in Black,kids
Grosse Pointe Blank,kids
Face/Off,kids
Crimson Tide,kids
True Lies,adults
Speed,adults
Nikita,unrated
Star Trek IV: The Voyage Home,kids
To Live and Die in L.A.,unrated
The Karate Kid,kids
Beverly Hills Cop,adults
Assault on Precinct 13,adults
The Getaway,adults
Jason and the Argonauts,kids
The Suicide Squad,adults
Anthropoid,adults
The Siege of Jadotville,unrated
Bajirao Mastani,kids
La isla mínima,unrated
'71,adults
Holiday,kids
Unbroken,adults
The Man from U.N.C.L.E.,kids
Kon-Tiki,unrated
War Horse,kids
Rise of the Guardians,kids
The Hunger Games,kids
Kung Fu Panda 2,kids
Harry Brown,adults
Old Henry,unrated
21 Jump Street,kids
VR (Vikrant Rona),teens
Rango,kids
Prey,adults
The Witcher: Nightmare of the Wolf,adults
RocknRolla,adults
Joheunnom nabbeunnom isanghannom,adults
I Am Legend,adults
The Equalizer,adults
Mongol,adults
Friday Night Lights,kids
Fainaru fantajî sebun adobento chirudoren,kids
Team America: World Police,adults
The Life Aquatic with Steve Zissou,adults
King Kong,kids
Kingdom of Heaven,adults
The Matrix Reloaded,kids
The Patriot,adults
Arlington Road,adults
Ronin,adults
From Dusk Till Dawn,adults
GoldenEye,kids
Natural Born Killers,adults
In the Line of Fire,kids
Star Trek VI: The Undiscovered Country,kids
Point Break,adults
Lethal Weapon 2,adults
Willow,kids
They Live,adults
The Transformers: The Movie,kids
The Hitcher,adults
Big Trouble in Little China,kids
Silverado,kids
Runaway Train,unrated
Magnum Force,unrated
Meng long guo jiang,kids
Jing wu men,kids
Vanishing Point,kids
The Italian Job,adults
Django,adults
Dr. No,adults
Mosul,adults
Black Adam,kids
Free Guy,kids
Brawl in Cell Block 99,adults
Kaabil,kids
Allied,adults
American Made,adults
Fast & Furious 7,adults
Everest,kids
Kraftidioten,adults
Gabbar Is Back,kids
Kung Fu Panda 3,kids
Dragon Ball Z: Doragon bôru Z - Kami to Kami,kids
God Bless America,adults
Batman v Superman: Dawn of Justice (Ultimate Edition),adults
Deepwater Horizon,kids
Snowpiercer,adults
Dredd,adults
Enthiran,kids
Iron Man Three,kids
Flickan som lekte med elden,adults
Micmacs à tire-larigot,adults
JCVD,adults
The Northman,adults
Wrath of Man,teens
Planet Terror,adults
Defiance,adults
Shooter,adults
Man of Steel,kids
Rocky Balboa,kids
Don,kids
Deja Vu,kids
Pirates of the Caribbean: At World's End,kids
Fanaa,kids
Flags of Our Fathers,kids
Banlieue 13,teens
Ong-bak,adults
"I, Robot",kids
Live Free or Die Hard,kids
We Were Soldiers,kids
Pitch Black,kids
Payback,adults
The Mummy,adults
Blade,adults
Three Kings,adults
Mission: Impossible,kids
Desperado,adults
Batman Returns,kids
Die Hard 2,adults
Casualties of War,kids
No Way Out,kids
Highlander,adults
WarGames,kids
Escape from New York,kids
The Poseidon Adventure,kids
Doctor Strange in the Multiverse of Madness,kids
Kabir Singh,adults
Greyhound,adults
Logan Lucky,kids
Ant-Man and the Wasp,kids
Sicario: Day of the Soldado,kids
Sultan,kids
Spy,adults
A Most Violent Year,adults
Yip Man 3,kids
Star Trek Beyond,kids
22 Jump Street,adults
Yip Man 4,kids
Furious 6,kids
Chronicle,kids
Super 8,kids
Yip Man chin chyun,unrated
The Foreigner,adults
Oblivion,kids
Filth,adults
Don 2,kids
Den of Thieves,adults
RED,kids
Bronson,unrated
Public Enemies,adults
The Unbearable Weight of Massive Talent,adults
Cloverfield,adults
Death Proof,adults
Tropic Thunder,adults
Tau ming chong,adults
Son of Rambow,kids
World War Z,kids
Thor,kids
Jack Reacher,kids
Body of Lies,adults
Man cheng jin dai huang jin jia,adults
9,teens
Rambo,adults
Shazam!,kids
Real Steel,kids
The Kingdom,adults
Tom yum goong,adults
Transformers,kids
Hellboy II: The Golden Army,kids
Constantine,adults
Main Hoon Na,kids
Unleashed,adults
Underworld,adults
The Italian Job,kids
Koroshiya 1,unrated
Spy Game,kids
Le pacte des loups,adults
Taxi,kids
Rush Hour,kids
Fallen,adults
Independence Day,kids
Stargate,kids
Maverick,kids
Dragon: The Bruce Lee Story,adults
Juice,adults
The Last Boy Scout,adults
The Spy Who Loved Me,adults
The Towering Inferno,kids
Thunderbolt and Lightfoot,unrated
The War of the Worlds,kids
Outlaw King,adults
Dragged Across Concrete,adults
The Night Comes for Us,adults
Solo: A Star Wars Story,kids
Fan,kids
X-Men: Apocalypse,kids
Slow West,adults
Game Night,adults
Star Wars: Episode VIII - The Last Jedi,kids
Jumanji: Welcome to the Jungle,kids
Love and Monsters,teens
Non-Stop,kids
All Is Lost,teens
The Hitman's Bodyguard,adults
Pacific Rim,kids
Get the Gringo,adults
In the Heart of the Sea,adults
Ghostbusters,kids
Iron Man 2,kids
Legend of the Guardians: The Owls of Ga'Hoole,kids
The World's End,kids
Jackass Forever,adults
Free State of Jones,adults
Traitor,teens
The Amazing Spider-Man,kids
Pineapple Express,adults
Crank,adults
Alan Partridge: Alpha Papa,adults
28 Weeks Later,adults
Captain America: The First Avenger,teens
The Guardian,unrated
San ging chaat goo si,adults
Jurassic World,kids
National Treasure,kids
Mission: Impossible III,kids
The Last Castle,kids
Atlantis: The Lost Empire,kids
A Knight's Tale,adults
The Edge,adults
Con Air,adults
The Mask,kids
Clear and Present Danger,kids
Robin Hood: Prince of Thieves,kids
Memphis Belle,unrated
The Monster Squad,unrated
Top Gun,kids
Romancing the Stone,kids
Repo Man,unrated
48 Hrs.,adults
Conan the Barbarian,adults
Clash of the Titans,adults
Smokey and the Bandit,kids
Death Wish,adults
Westworld,kids
Tang shan da xiong,adults
Thunderball,adults
Ready or Not,adults
Boss Level,unrated
News of the World,teens
Spies in Disguise,kids
Shin Gojira,unrated
Captain Marvel,kids
The Outpost,adults
Død snø 2,adults
The Magnificent Seven,kids
Spectre,kids
Thor: The Dark World,kids
Chappie,kids
The Maze Runner,kids
Tres metros sobre el cielo,unrated
The Grey,adults
What Happened to Monday,adults
Aquaman,kids
Men in Black 3,kids
Unknown,kids
Tron,kids
The Book of Eli,adults
Hanna,teens
Green Zone,adults
We Own the Night,adults
Unstoppable,kids
Harsh Times,adults
Four Brothers,kids
Street Kings,adults
The Island,kids
Tristan + Isolde,teens
The Transporter,adults
Dog Soldiers,adults
The Fast and the Furious,adults
The Score,kids
Hellboy,kids
Ngo si seoi,kids
The Mask of Zorro,kids
The Long Kiss Goodnight,adults
Bad Boys,adults
Patriot Games,adults
El mariachi,adults
Young Guns,kids
Innerspace,kids
Bloodsport,adults
Enemy Mine,kids
Superman II,kids
Mad Max,kids
Logan's Run,kids
On Her Majesty's Secret Service,kids
You Only Live Twice,adults
Extraction,adults
Jumanji: The Next Level,kids
Midway,adults
Bumblebee,kids
Kingsman: The Golden Circle,adults
Harriet,teens
The Equalizer 2,kids
Jungle,adults
Turbo Kid,unrated
Black Widow,kids
Hardcore Henry,adults
The Guest,adults
Pete's Dragon,kids
The Salvation,adults
The Adam Project,teens
Atomic Blonde,adults
The Finest Hours,kids
King Arthur: Legend of the Sword,adults
No Escape,adults
In Time,kids
Safe House,kids
Machine Gun Preacher,adults
Zombieland: Double Tap,adults
Super,adults
The Wolverine,kids
Antim: The Final Truth,kids
Gangster Squad,adults
2 Guns,adults
Wild Target,teens
Escape Plan,adults
Brooklyn's Finest,adults
Out of the Furnace,adults
Pandorum,adults
Om Shanti Om,kids
The Brothers Bloom,teens
Angels & Demons,adults
Death Sentence,adults
Warcraft,kids
Appaloosa,adults
Wanted,adults
The Brave One,adults
The A-Team,adults
Underworld: Evolution,adults
Blood and Bone,adults
Hidalgo,kids
The Matrix Revolutions,kids
Blade II,adults
Armageddon,kids
Nothing to Lose,kids
Conspiracy Theory,adults
Absolute Power,adults
Ransom,kids
Hung fan kui,adults
