rotten_tomatoes_link,directors
m/100_bloody_acres_2013,Colin Cairnes
m/100_girls,Michael Davis
m/100_streets,Jim O'Hanlon
m/1010002-hound_of_the_baskervilles,Sidney Lanfield
m/1010004-hound_of_the_baskervilles,Terence Fisher
m/1010012-house,Steve Miner
m/1010030-house_of_wax,André De Toth
m/1010034-house_on_haunted_hill,William Castle
m/1010174-hud,Martin Ritt
m/1010202-human_factor,Otto Preminger
m/1010214-hunchback_of_notre_dame,Wallace Worsley
m/1010215-hunchback_of_notre_dame,William Dieterle
m/1010230-hunter,Buzz Kulik
m/1010249-hustle,Robert Aldrich
m/1010263-i_the_jury,Richard T. Heffron
m/1010417-imitation_of_life,Douglas Sirk
m/1010431-importance_of_being_earnest,Anthony Asquith
m/1010440-impulse,Sondra Locke
m/1010448-in_cold_blood,Richard Brooks
m/1010526-incubus,John Hough
m/1010540-indiscreet,Stanley Donen
m/1010553-informer,John Ford
m/1010555-inherit_the_wind,Stanley Kramer
m/1010644-intolerance,D.W. Griffith
m/1010672-invaders_from_mars,William Cameron Menzies
m/1010673-invaders_from_mars,Tobe Hooper
m/1010678-invasion_of_the_body_snatchers,Don Siegel
m/1010679-invasion_of_the_body_snatchers,Philip Kaufman
m/1010695-invisible_man,James Whale
m/1010745-island,Michael Ritchie
m/1010752-island_of_dr_moreau,Don Taylor
m/1010762-islands_in_the_stream,Franklin J. Schaffner
m/1010770-it,Clarence Badger
m/1010793-its_alive,Larry Cohen
m/1010824-ivanhoe,Richard Thorpe
m/1010837-jack_and_the_beanstalk,Jean Yarbrough
m/1010849-jack_frost,Jules Bass
m/1010889-jamaica_inn,Alfred Hitchcock
m/1010939-jason_and_the_argonauts,Don Chaffey
m/1010978-jazz_singer,Alan Crosland
m/1010979-jazz_singer,Richard Fleischer
m/1011028-jesus_christ_superstar,Norman Jewison
m/1011176-johnny_belinda,Jean Negulesco
m/1011295-judex,Georges Franju
m/1011328-julius_caesar,Joseph L. Mankiewicz
m/1011329-julius_caesar,Stuart Burge
m/1011338-jungle_book,Zoltan Korda
m/1011392-kansas,David Stevens
m/1011487-kickboxer,David Worth
m/1011495-kid_galahad,Phil Karlson
m/1011558-killer_elite,Sam Peckinpah
m/1011605-king_and_i,Walter Lang
m/1011615-king_kong,Ernest B. Schoedsack
m/1011617-king_kong,John Guillermin
m/1011623-king_of_comedy,Martin Scorsese
m/1011626-king_of_kings,Nicholas Ray
m/1011638-king_solomons_mines,Compton Bennett
m/1011813-lady_vanishes,Alfred Hitchcock
m/1011818-ladykillers,Alexander Mackendrick
m/1012007-laura,Otto Preminger
m/1012164-legend,Ridley Scott
m/1012225-les_miserables,Richard Boleslawski
m/1012264-letter,William Wyler
m/1012370-lilies_of_the_field,Ralph Nelson
m/1012386-lion_in_winter,Anthony Harvey
m/1012419-little_drummer_boy,Arthur Rankin Jr.
m/1012439-little_lord_fauntleroy,John Cromwell
m/1012478-little_princess,William A. Seiter
m/1012506-little_romance,George Roy Hill
m/1012514-little_shop_of_horrors,Roger Corman
m/1012515-little_shop_of_horrors,Frank Oz
m/1012524-little_women,George Cukor
m/1012525-little_women,Mervyn LeRoy
m/1012605-lock_up,John Flynn
m/1012611-lolita,Stanley Kubrick
m/1012647-long_days_journey_into_night,Sidney Lumet
m/1012662-long_hot_summer,Martin Ritt
m/1012665-longest_yard,Robert Aldrich
m/1012672-look_back_in_anger,Tony Richardson
m/1012772-lost_patrol,John Ford
m/1012813-love_bug,Robert Stevenson
m/1012871-lovesick,Marshall Brickman
m/1012920-lust_for_life,Vincente Minnelli
m/1012928-m,Fritz Lang
m/1012993-madame_x,David Lowell Rich
m/1013004-made_in_heaven,Alan Rudolph
m/1013035-magic_flute,Ingmar Bergman
m/1013071-magnificent_ambersons,Orson Welles
m/1013077-magnificent_seven,John Sturges
m/1013089-main_event,Howard Zieff
m/1013139-maltese_falcon,John Huston
m/1013162-man_for_all_seasons,Fred Zinnemann
m/1013227-manchurian_candidate,John Frankenheimer
m/1013238-manhattan_project,Marshall Brickman
m/1013248-manhunter,Michael Mann
m/1013259-mannequin,Michael Gottlieb
m/1013380-mark_of_zorro,Fred Niblo
m/1013427-marty,Delbert Mann
m/1013488-masquerade,Bob Swaim
m/1013632-mechanic,Michael Winner
m/1013711-men,Fred Zinnemann
m/1013772-meteor,Ronald Neame
m/1013775-metropolis,Fritz Lang
m/1013867-midsummer_nights_dream,William Dieterle
m/1013884-mighty_joe_young,Ernest B. Schoedsack
m/1013973-miracle_worker,Arthur Penn
m/1014008-missing_in_action,Joseph Zito
m/1014027-mission,Roland Joffé
m/1014061-mister_roberts,John Ford
m/1014090-moby_dick,John Huston
m/1014137-monkey_business,Norman McLeod
m/1014138-monkey_business,Howard Hawks
m/1014217-moonraker,Lewis Gilbert
m/1014246-morning_glory,Lowell Sherman
m/1014294-moulin_rouge,John Huston
m/1014325-mr_and_mrs_smith,Alfred Hitchcock
m/1014352-mrs_soffel,Gillian Armstrong
m/1014370-mummy,Karl W. Freund
m/1014372-mummy,Terence Fisher
m/1014396-murder,Alfred Hitchcock
m/1014453-music_man,Morton DaCosta
m/1014481-mutiny_on_the_bounty,Frank Lloyd
m/1014482-mutiny_on_the_bounty,Lewis Milestone
m/1014536-my_man_godfrey,Gregory La Cava
m/1014592-mysterious_island,Cyril Endfield
m/1014793-near_dark,Kathryn Bigelow
m/1014804-neighbors,John G. Avildsen
m/1014946-next_of_kin,John Irvin
m/1014986-nicholas_and_alexandra,Franklin J. Schaffner
m/1015000-night_and_day,Michael Curtiz
m/1015002-night_at_the_opera,Sam Wood
m/1015052-night_of_the_living_dead,George A. Romero
m/1015079-night_to_remember,Roy Ward Baker
m/1015095-nighthawks,Bruce Malmuth
m/1015196-no_mans_land,Peter Werner
m/1015199-no_mercy,Richard Pearce
m/1015218-no_way_out,Roger Donaldson
m/1015348-nutty_professor,Jerry Lewis
m/1015361-obsession,Brian DePalma
m/1015380-odd_couple,Gene Saks
m/1015383-odd_man_out,Carol Reed
m/1015389-odessa_file,Ronald Neame
m/1015517-omen,Richard Donner
m/1015530-on_the_beach,Stanley Kramer
m/1015542-on_the_town,Stanley Donen
m/1015639-only_when_i_laugh,Glenn Jordan
m/1015737-our_town,Sam Wood
m/1015753-out_of_the_dark,Michael Schroeder
m/1015758-outoftowners,Arthur Hiller
m/1015944-parent_trap,David Swift
m/1015967-party,Blake Edwards
m/1016119-pennies_from_heaven,Herbert Ross
m/1016213-peter_pan,Wilfred Jackson
m/1016239-phantom_of_the_opera,Dwight H. Little
m/1016240-phantom_of_the_opera,Lon Chaney Jr
m/1016302-picture_of_dorian_gray,Albert Lewin
m/1016338-pink_panther,Blake Edwards
m/1016359-piranha,Joe Dante
m/1016365-pirates_of_penzance,Wilford Leach
m/1016369-pit_and_the_pendulum,Roger Corman
m/1016397-planet_of_the_apes,Franklin J. Schaffner
m/1016479-point_blank,John Boorman
m/1016512-pollyanna,David Swift
m/1016513-poltergeist,Tobe Hooper
m/1016534-popeye,Robert Altman
m/1016584-poseidon_adventure,Ronald Neame
m/1016586-posse,Kirk Douglas
m/1016591-postman_always_rings_twice,Tay Garnett
m/1016592-postman_always_rings_twice,Bob Rafelson
m/1016609-power,Sidney Lumet
m/1016698-pride_and_prejudice,Robert Z. Leonard
m/1016724-prince_and_the_pauper,William Keighley
m/1016756-prisoner_of_zenda,John Cromwell
