rotten_tomatoes_link,directors
m/10009239-passengers,Rodrigo García
m/10009244-the_grand,Zak Penn
m/10009253-the_hammer,Charles Herman-Wurmfeld
m/10009254-shutter,Masayuki Ochiai
m/10009274-priest,Scott Stewart
m/10009323-broken,Sean Ellis (II)
m/10009334-the_escapist,Rupert Wyatt
m/10009355-sugar,Anna Boden
m/10009420-quid_pro_quo,Carlos Brooks
m/10009421-red,Trygve Allister Diesen
m/10009426-guitar,Amy Redford
m/10009460-the_road,John Hillcoat
m/10009462-g_force,Hoyt Yeatman
m/10009469-the_other_man,Richard Eyre
m/10009493-duchess,Saul Dibb
m/10009516-women,Diane English
m/10009526-public_enemies,Michael Mann
m/10009547-night_and_day,Hong Sang-soo
m/10009552-julia,Erick Zonca
m/1000957-angel_and_the_badman,James Edward Grant
m/10009583-fade_to_black,Oliver Parker
m/1000959-angel_heart,Alan Parker
m/10009596-old_dogs,Walt Becker
m/10009598-surrogates,Jonathan Mostow
m/10009624-promotion,Steven Conrad
m/10009632-notorious,George Tillman Jr.
m/10009635-soul_men,Malcolm D. Lee
m/10009636-igor,Anthony Leondis
m/10009680-matador,Stephen Higgins
m/10009791-auteur,James Westby
m/10009799-caller,Richard Ledes
m/10009823-sin_nombre,Cary Joji Fukunaga
m/10009828-house_of_sleeping_beauties,Vadim Glowna
m/10009890-stone_angel,Kari Skogland
m/10009926-alvin_and_the_chipmunks_2,Betty Thomas
m/10009929-a_christmas_tale,Arnaud Desplechin
m/10009980-rebound,Bart Freundlich
m/10009992-ripple_effect,Philippe Caland
m/1000_times_good_night,Erik Poppe
m/10010011-harold,T. Sean Shannon
m/10010066-push,Paul McGuigan
m/10010077-felon,Ric Roman Waugh
m/10010131-scar,Jed Weintrob
m/10010150-unborn,David S. Goyer
m/10010153-bitch_slap,Rick Jacobson
m/10010155-forever_strong,Ryan Little
m/10010208-chocolate,Prachya Pinkaew
m/10010214-fireproof,Alex Kendrick
m/10010229-dostana,Tarun Mansukhani
m/10010249-the_garden,Scott Hamilton Kennedy
m/10010329-splinter,Toby Wilkins
m/10010334-leaves_of_grass,Tim Blake Nelson
m/10010335-rab_ne_bana_di_jodi,Aditya Chopra
m/10010458-proposal,Anne Fletcher
m/10010552-gigantic,Matt Aselton
m/10010568-fuel,
m/10010571-hush,Mark Tonderai
m/1001063-anna_karenina,Clarence Brown
m/10010658-orphan,Jaume Collet-Serra
m/10010662-my_sisters_keeper,
m/10010667-hangover,Todd Phillips
m/10010668-stepfather,Nelson McCormick
m/10010675-departures,Yojiro Takita
m/10010680-boogie,Radu Muntean
m/10010692-ballerina,Laurent Gentot
m/10010694-season_of_the_witch,Dominic Sena
m/10010703-shuttle,Edward Anderson
m/10010760-miss_march,Zach Cregger
m/10010782-american_affair,William Olsson
m/10010785-grace,Paul Solet
m/10010787-endgame,Pete Travis
m/10010789-red_baron,Nikolai Muellerschoen
m/10010919-objective,Daniel Myrick
m/10010940-happy_tears,Mitchell Lichtenstein
m/10010944-missing_person,Noah Buschel
m/10010957-polanski_unauthorized,Damian Chapa
m/10010972-mammoth,Lukas Moodysson
m/10011003-crude,Joe Berlinger
m/10011016-messenger,Oren Moverman
m/10011050-lake_mungo,Joel Anderson
m/10011079-country_teacher,Bohdan Sláma
m/1001115-apartment,Billy Wilder
m/10011154-golden_boys,Daniel Adams
m/1001117-ape,William Nigh
m/10011235-fame,Kevin Tancharoen
m/10011262-outrage,Kirby Dick
m/10011284-skin,Anthony Fabian
m/10011303-helen,Christine Molloy
m/10011304-thirst,Park Chan-wook
m/10011335-vengeance,Johnnie To
m/10011379-new_world_order,Luke Meyer
m/1001138-april_fools_day,Fred Walton
m/10011388-blood_the_last_vampire,Chris Nahon
m/10011435-shrink,Jonas Pate
m/10011457-ong_bak_2_2009,Panna Rittikrai
m/10011489-bananas,Fredrik Gertten
m/10011494-last_ride,Glendyn Ivin
m/10011582-TRON_legacy,Joseph Kosinski
m/10011647-canyon,Richard Harrah
m/10011699-leslie_my_name_is_evil,Reginald Harkema
m/10011721-broken_hill,Dagen Merrill
m/10011735-beautiful_life,Alejandro Chomski
m/10011736-suck,Rob Stefaniuk
m/10011774-chloe,Atom Egoyan
m/1001180-armed_and_dangerous,Mark L. Lester
m/10011815-hole,Joe Dante
m/10011846-nobodys_perfect,Niko von Glasow
m/10011854-good_soldier,Michael Uys
m/10011857-high_life,Gary Yates
m/1001193-around_the_world_in_80_days,Michael Anderson
m/10011943-fall,John Krueger
m/10011944-good_heart,Dagur Kári
m/10011946-wonderful_world,Joshua Goldin
m/10011949-collapse,Chris Smith
m/10011950-three_blind_mice,Matthew Newton
m/10011984-last_song,Julie Ann Robinson
m/10012014-babies,Thomas Balmès
m/10012039-lottery_ticket,Erik White
m/10012042-going_the_distance,Nanette Burstein
m/10012044-life_as_we_know_it,Gary Berlanti
m/10012050-final,Joey Stewart
m/10012051-frozen,Adam Green
m/10012058-prodigal_sons,Kimberly Reed
m/10012063-ghost_writer,Hervé de Luze
m/10012068-repo_men,Miguel Sapochnik
m/10012104-7_days,Daniel Grou
m/10012114-daddy_longlegs,Benny Safdie
m/10012133-veer,Anil Sharma
m/10012136-winters_bone,Debra Granik
m/10012141-kids_are_all_right,Lisa Cholodenko
m/10012147-lucky,Jeffrey Blitz
m/10012150-high_school,John Stalberg
m/10012207-stolen,Anders Anderson
m/10012232-killing_jar,Mark Young
m/10012254-la_mission,Peter Bratt
m/10012256-predators,Nimród Antal
m/10012264-stonewall,Kate Davis
m/10012282-oath,Laura Poitras
m/10012288-wild_hunt,Alexandre Franchi
m/1001240-arthur,Steve Gordon
m/10012426-lottery,Madeleine Sackler
m/1001280-assault_on_precinct_13,John Carpenter
m/1001294-asylum,Peter Robinson
m/1001323-attack_of_the_50_foot_woman,Nathan Juran
m/1001406-avenging_angel,Robert Vincent O'Neil
m/1001425-aviator,George T. Miller
m/1001428-awakening,Mike Newell
m/1001488-babes_in_toyland,Jack Donohue
m/1001553-bad_company,Robert Benton
m/1001567-bad_news_bears,Michael Ritchie
m/1001572-bad_seed,Mervyn LeRoy
m/1001634-bang_the_drum_slowly,John D. Hancock
m/1001816-battleground,William Wellman
m/1001902-beauty_and_the_beast,Jean Cocteau
m/1001994-belles_of_st_trinians,Frank Launder
m/1001_grams,Bent Hamer
m/1002178-best_of_times,Roger Spottiswoode
m/1002205-betrayed,Betsy Blair
m/1002306-big_brawl,Robert Clouse
m/1002310-big_business,Jim Abrahams
m/1002332-big_heat,Fritz Lang
m/1002352-big_sleep,Howard Hawks
m/1002353-big_sleep,Michael Winner
m/1002407-billy_budd,Peter Ustinov
m/1002448-birds,Alfred Hitchcock
m/1002484-black_christmas,Bob Clark
m/1002497-black_hole,Gary Nelson
m/1002511-black_pirate,Albert Parker
m/1002512-black_rain,Ridley Scott
m/1002526-black_sunday,John Frankenheimer
m/1002531-black_widow,Bob Rafelson
m/1002540-blackmail,Alfred Hitchcock
m/1002571-blind_date,Blake Edwards
m/1002598-blood_and_sand,Rouben Mamoulian
m/1002611-blood_feast,Herschell Gordon Lewis
m/1002681-blue_angel,Josef von Sternberg
m/1002732-bluebeard,Edgar G. Ulmer
m/1002907-border,Tony Richardson
m/1002930-born_yesterday,George Cukor
m/1002939-boston_strangler,Richard Fleischer
m/1002947-bounty,Roger Donaldson
m/1002993-boys_from_brazil,Franklin J. Schaffner
m/1003017-brainstorm,Douglas Trumbull
m/1003060-breakout,Tom Gries
m/1003075-brewsters_millions,Walter Hill
m/1003076-brians_song,Buzz Kulik
m/1003094-brief_encounter,David Lean
m/1003119-broken_arrow,Delmer Daves
m/1003120-broken_blossoms,D.W. Griffith
m/1003136-brotherhood,Martin Ritt
m/1003217-bug,Jeannot Szwarc
m/1003276-burglar,Hugh Wilson
m/1003296-bus_stop,Joshua Logan
m/1003318-butch_cassidy_and_the_sundance_kid,George Roy Hill
m/1003339-bye_bye_birdie,George Sidney
m/1003399-calamity_jane,David Butler
m/1003436-camelot,Joshua Logan
m/1003441-camille,George Cukor
m/1003492-cape_fear,J. Lee Thompson
m/1003499-captain_blood,Michael Curtiz
m/1003531-captains_courageous,Victor Fleming
m/1003612-carnival_of_souls,Herk Harvey
m/1003617-carny,Robert Kaylor
m/1003625-carrie,Brian DePalma
m/1003707-casablanca,Michael Curtiz
m/1003722-casino_royale,Richard Talmadge
m/1003747-cat_and_the_canary,Paul Leni
m/1003755-cat_on_a_hot_tin_roof,Richard Brooks
m/1003757-cat_people,Jacques Tourneur
m/1003758-cat_people,Paul Schrader
m/1003780-caught,Max Ophüls
m/1003854-champ,Franco Zeffirelli
m/1003857-champion,Mark Robson
m/1003883-charade,Stanley Donen
m/1003952-charlottes_web,Charles A. Nichols
m/1003957-chase,Arthur Penn
m/1003972-checking_out,David Leland
m/1004047-children_of_the_corn,Fritz Kiersch
m/1004110-chosen,Jeremy Kagan
m/1004125-christmas_carol,Edwin L. Marin
m/1004141-christmas_in_connecticut,Peter Godfrey
m/1004151-christmas_story,Bob Clark
m/1004177-cimarron,Wesley Ruggles
m/1004330-cleopatra,Joseph L. Mankiewicz
m/1004463-college,James W. Horne
m/1004485-colors,Dennis Hopper
m/1004502-coma,Michael Crichton
m/1004567-commando,Mark L. Lester
m/1004703-convoy,Sam Peckinpah
m/1004790-countdown,Robert Altman
m/1004798-country_girl,George Seaton
m/1004832-cover_girl,Charles Vidor
m/1004906-creature_from_the_black_lagoon,Jack Arnold
m/1004995-crossroads,Walter Hill
m/1005090-cutting_class,Rospo Pallenberg
m/1005152-damn_yankees,George Abbott
m/1005194-dangerous,Alfred E. Green
m/1005199-dangerous_liaisons,Stephen Frears
m/1005242-dark_mirror,Robert Siodmak
m/1005279-darling,John Schlesinger
m/1005360-day_of_the_dead,George A. Romero
m/1005371-day_the_earth_stood_still,Robert Wise
m/1005381-days_of_wine_and_roses,Blake Edwards
m/1005399-dead_heat,Mark Goldblatt
m/1005412-dead_reckoning,John Cromwell
m/1005512-death_in_venice,Luchino Visconti
m/1005521-death_of_a_salesman,Volker Schlöndorff
m/1005656-demons,Lamberto Bava
m/1005724-desperate_hours,William Wyler
m/1005762-devil_doll,Tod Browning
m/1005865-dillinger,John Milius
m/1005875-dinner_at_eight,George Cukor
m/1005967-distant_thunder,Rick Rosenthal
m/1006037-doctor_zhivago,David Lean
m/1006042-dodge_city,Michael Curtiz
m/1006068-dolls,Stuart Gordon
m/1006207-dr_jekyll_and_mr_hyde,Rouben Mamoulian
m/1006223-how_the_grinch_stole_christmas,Chuck Jones
m/1006234-dracula,Tod Browning
m/1006235-dracula,Dan Curtis
m/1006236-dracula,John Badham
m/1006250-dragnet,Tom Mankiewicz
m/1006287-dream_team,Howard Zieff
m/1006299-dressed_to_kill,Brian DePalma
m/1006345-duel,Steven Spielberg
m/1006364-dune,David Lynch
m/1006392-eagle_has_landed,John Sturges
m/1006416-east_of_eden,Elia Kazan
m/1006425-easy_money,James Signorelli
m/1006438-eaten_alive,Tobe Hooper
m/1006476-oedipus_rex,Pier Paolo Pasolini
m/1006527-elephant_man,David Lynch
m/1006646-enforcer,James Fargo
m/1006648-enforcer,Raoul Walsh
m/1006717-escape_from_new_york,John Carpenter
m/1006872-exodus,Otto Preminger
m/1006917-eyewitness,Peter Yates
m/1007003-fahrenheit_451,François Truffaut
m/1007070-fan,Edward Bianchi
m/1007073-fandango,Kevin Reynolds
m/1007105-far_from_the_madding_crowd,John Schlesinger
m/1007110-farewell_my_lovely,Dick Richards
m/1007141-fatal_attraction,Adrian Lyne
m/1007154-father_of_the_bride,Vincente Minnelli
m/1007350-fire_and_ice,Ralph Bakshi
m/1007517-flash_gordon,Mike Hodges
m/1007522-flashback,Franco Amurri
m/1007538-flesh_and_blood,Paul Verhoeven
m/1007555-flight_of_the_phoenix,Robert Aldrich
m/1007573-flipper,James B. Clark
m/1007600-fly,Kurt Neumann
m/1007602-fly,David Cronenberg
m/1007615-flying_tigers,David Miller
m/1007657-footloose,Herbert Ross
m/1007745-four_feathers,Zoltan Korda
m/1007832-frantic,Roman Polanski
m/1007839-freaky_friday,Gary Nelson
m/1007910-fright_night,Tom Holland
m/1007931-from_here_to_eternity,Fred Zinnemann
m/1007949-frosty_the_snowman,Arthur Rankin Jr.
m/1007962-fugitive,John Ford
m/1007977-fun_with_dick_and_jane,Ted Kotcheff
m/1007990-funny_farm,George Roy Hill
m/1008015-fury,Brian DePalma
m/1008055-galaxy_of_terror,B.D. Clark
m/1008074-gallipoli,Peter Weir
m/1008080-gambler,Karel Reisz
m/1008085-game_of_death,Robert Clouse
m/1008166-general,Clyde Bruckman
m/1008243-getaway,Sam Peckinpah
m/1008358-girls_girls_girls,Norman Taurog
m/1008407-gloria,John Cassavetes
m/1008415-glory,Edward Zwick
m/1008437-go_west,Edward Buzzell
m/1008588-gone_in_60_seconds,H.B. Halicki
m/1008623-goodbye_girl,Herbert Ross
m/1008627-goodbye_mr_chips,Sam Wood
m/1008799-great_gatsby,Jack Clayton
m/1008852-great_race,Blake Edwards
m/1008931-green_berets,John Wayne
m/1008968-grizzly,William Girdler
m/1008981-group,Sidney Lumet
m/1009027-gullivers_travels,Dave Fleischer
m/1009055-gunfighter,Henry King
m/1009058-gung_ho,Ron Howard
m/1009076-gypsy,Mervyn LeRoy
m/1009096-hairspray,John Waters
m/1009113-halloween,John Carpenter
m/1009123-hamlet,Laurence Olivier
m/1009131-hand,Oliver Stone
m/1009211-hard_times,Walter Hill
m/1009219-hardcore,Paul Schrader
m/1009224-harder_they_fall,Mark Robson
m/1009277-haunting,Robert Wise
m/1009293-hawaii,George Roy Hill
m/1009399-heat,R.M. Richards
m/1009425-heaven,Diane Keaton
m/1009427-heaven_can_wait,Warren Beatty
m/1009437-heidi,Allan Dwan
m/1009583-hidden_fortress,Akira Kurosawa
m/1009645-hills_have_eyes,Wes Craven
m/1009649-hindenburg,Robert Wise
m/1009691-hit,Stephen Frears
m/1009736-hole_in_the_head,Frank Capra
m/1009972-hot_pursuit,Steven Lisberger
